#interval	max_mem_used_MB	min_mem_available_MB	max_disk_space_used_GB	max_mem_utilization_percent	max_disk_space_utilization_percent	max_cpu_utilization_percent
154	471.52734375	492.9296875	105.176570892334	48.8904459682221	50.9132215405968	-
155	471.33984375	493.1171875	105.300964355469	48.8710049777036	50.9734371560428	-
156	489.78515625	474.671875	105.446102142334	50.7835124199578	51.0436945549473	83.0
157	490.37109375	474.0859375	105.59077835083	50.844265515328	51.11372851586	-
158	489.671875	474.78515625	105.727504730225	50.7717668215196	51.1799141728509	-
159	489.91015625	474.546875	105.869449615479	50.7964730803034	51.2486259717637	-
160	489.8046875	474.65234375	105.999691009521	50.7855375231368	51.3116724173019	-
161	471.4140625	493.04296875	106.181827545166	48.8787003697838	51.399839940841	83.0
162	471.875	492.58203125	106.304908752441	48.9264928048084	51.4594203276166	-
163	489.74609375	474.7109375	106.451309204102	50.7794622135998	51.5302889494568	-
164	471.42578125	493.03125	106.597629547119	48.8799154316912	51.6011187928026	-
165	490.0625	474.39453125	106.740383148193	50.8122688850997	51.6702220698494	-
166	490.0	474.45703125	106.863147735596	50.8057885549269	51.7296491892423	83.0
167	471.3984375	493.05859375	107.028884887695	48.8770802872406	51.8098782009962	-
168	471.6953125	492.76171875	107.166748046875	48.9078618555615	51.8766141432888	-
169	492.31640625	472.140625	107.342239379883	51.0459657919571	51.9615648983864	-
170	473.68359375	490.7734375	107.502010345459	49.1140173591845	52.0389058356039	-
171	491.91796875	472.5390625	107.639652252197	51.0046536871054	52.1055346753881	83.0
172	494.20703125	470.25	107.764671325684	51.241995779685	52.1660531324095	-
173	491.94140625	472.515625	107.902351379395	51.0070838109202	52.2327004381434	-
174	473.7109375	490.74609375	108.067218780518	49.1168525036351	52.3125084262437	-
175	473.515625	490.94140625	108.225330352783	49.096601471845	52.3890460946483	-
176	474.0546875	490.40234375	108.361923217773	49.1524943195856	52.4551671208152	83.0
177	492.1015625	472.35546875	108.482940673828	51.023689656988	52.5137484997108	-
178	473.875	490.58203125	108.692451477051	49.1338633703387	52.6151671887699	-
179	473.65625	490.80078125	108.817859649658	49.1111822147338	52.6758739984784	-
180	492.078125	472.37890625	108.943519592285	51.0212595331732	52.7367026834552	-
181	491.75390625	472.703125	109.119312286377	50.9876428204017	52.8217993195556	83.0
182	473.265625	491.19140625	109.277778625488	49.0706801511537	52.8985087212926	-
183	492.234375	472.22265625	109.384628295898	51.0374603586053	52.9502318464618	-
184	491.97265625	472.484375	109.545551300049	51.0103239760066	53.0281304553609	-
185	491.9296875	472.52734375	109.688171386719	51.0058687490128	53.0971691015837	-
186	473.43359375	491.0234375	109.854972839355	49.0880960384932	53.1779133133348	83.0
187	493.26171875	471.1953125	109.958011627197	51.143980785821	53.2277916901269	-
188	491.890625	472.56640625	110.122589111328	51.0018185426547	53.3074593370092	-
